,Name,Leader 1,Leader 2,Leader 3,Leader 4,Revenue,Headquarters,Location,Other names,Subsidiaries,Purpose
0,khalsa Aid,Ravi Singh,,,,,"Slough, England",,,,Provides humanitarian aid in disaster areas and civil conflict zones around the world
1,ADRA,Seventh-day Adventist Church,,,,,,"Silver Spring, Maryland, USA",,,"Provides individual and community development and disaster relief, including Food Security, Economic Development, Primary Health, Emergency Management, and Basic Education"
2,CAFOD,,,,,,,,,,
3,CARE,Caroline Kende-Robb,,,,,,,,,Humanitarian relief and development support
4,Oxfam,,,,,,"Oxfam International, Oxfam House, John Smith Drive, Oxford, England",,,,Poverty eradicationdisaster relief advocacy policy research  pro-migration
5,Lakshyam ngo,,,,,,,,,,
6,SOS Children's Villages,Siddharta Kaul,,,,,"Imst, Austria",,SOS,,Humanitarian Services
7,World Vision International,Kevin Jenkins (International President)Ms. Donna Shepherd  (Chairperson Int'l Board),,,,,,"Monrovia, California, U.S., 800 West Chestnut Avenue (administrative center, World Vision International Board),  London, U.K. (Executive Office and International Headquarter)",,,"Well being of all people, especially children."
8,Mercy Corps,"Neal Keny-Guyer, Dan O'Neill",,,,,"Portland, OregonEdinburgh, United Kingdom",,,,
9,Save the Children,,,,,,,"International HQ: London, WC2United Kingdom",,,
10,Good Neighbors International,,,,,,,"Seoul, Korea (Main Headquarters); Los Angeles, California, United States (United States Office)",,,"Well being of all people, especially children, and community development"
11,Doctors Without Borders,Joanne Liu (MSF International President),,,,,,"Geneva, Switzerland",,,
12,HealthRight International,,,,,,,,,,
13,charity: water,,,,,,,"New York City, New York, U.S.",,,
14,Lakshyam NGO,,,,,,,,,,
15,Compassion International,"Santiago ""Jimmy"" Mellado (President and CEO)",,,,,,"12290 Voyager ParkwayColorado Springs, CO 80921United States",,,
16,Plan,Anne-Birgitte Albrectsen (CEO).,,,,,,"Woking, Surrey, UK",,,
17,World Association of Girl Guides and Girl Scouts,Ana Maria Mideros,,,,,"Pax Lodge, London",150 countries,,,
18,Save the Children International,,,,,,,,,,
19,SOS Children's Villages,Siddharta Kaul,,,,,"Imst, Austria",,SOS,,Humanitarian Services
20,Reggio Children Foundation,"Carla Rinaldi, President Margie Keith Cooper, board of trustRiccardo Ferretti, board of trust  Harold Valdemar Gothson, board of trust Reno Italo Portioli, board of trust Francesca Sassi, board of trust",,,,,,"Reggio Emilia, Italy",,,"research into education, especially preschool education and early childhood education"
21,World Organization of the Scout Movement,Ahmad Alhendawi[5][6],,,,,"World Scout Bureau: Geneva, Switzerland
Secretary General’s Office: Kuala Lumpur, Malaysia

",worldwide,,,
22,World Vision International,Kevin Jenkins (International President)Ms. Donna Shepherd  (Chairperson Int'l Board),,,,,,"Monrovia, California, U.S., 800 West Chestnut Avenue (administrative center, World Vision International Board),  London, U.K. (Executive Office and International Headquarter)",,,"Well being of all people, especially children."
23,International Federation of Catholic Parochial Youth Movements,,,,,,"Antwerpen,  Belgium",,FIMCAP,,International umbrella organization of catholic youth organizations
24,ActionAid,Adriano Campolina,,,,,,Johannesburg (Headquarters),,,ActionAid works with communities to reduce poverty and promote human rights
25,The Library Project,Tom Stader (Director and Founder),,,,,"Xian, China",,,,Education
26,OpenmindProjects- INGO,,,,,,,"856/9 Moo. 15 Prajak Rd, Mueang Nong Khai, Nong Khai 43000 Thailand",,,"Education Opportunities for poor youth in SE Asia, Environment Protection and Wildlife Conservation"
27,European Association of History Educators,,,,,,,,,,
28,Amnesty International,,,,,,"London, WC1United Kingdom",Global,,,"Legal advocacy, Media attention, direct-appeal campaigns, research, lobbying"
29,Commonwealth Human Rights Initiative,,,,,,"New Delhi, India   London, United Kingdom (regional office)    Accra, Ghana (regional office) ",,,,Promote & defend human rights in the Commonwealth
30,Friends of Peoples Close to Nature,,,,,,,Germany,,,Indigenous rights
31,International Christian Concern,Jeff King,,,,,,"2020 Pennsylvania Avenue, NW, Washington DC, USA",ICC,,Christian based human rights organization
32,International Federation for Human Rights,Dimitris Christopoulos (President since 2016)Daniel JacobyRené CassinJoseph Paul-BoncourVictor Basch,,,,,,"GlobalInternational secretariat in Paris, France.",,,"Fact-finding missions, judicial observations, training, exchange programs, research, permanent lobbying of intergovernmental organisations, mobilizing public opinion."
33,International Stateless Persons Organisation,,,,,,,,,,
34,Survival International,"Robin Hanbury-Tenison, President Stephen Corry, Director",,,,,,"London, EC1United Kingdom",,,Indigenous rights
35,International POPs Elimination Network,,,,,,,,,,
36,International Union for Conservation of Nature,Inger Andersen (Director General)  Zhang Xinsheng (President),,,,,,"Gland VD,   Switzerland",,,"Nature conservation, biodiversity"
37,Greenpeace,"Bunny McDiarmid, Jennifer Morgan",,,,,"Amsterdam, Netherlands",,Don't Make a Wave Committee (1969–1972)[1],,"Environmentalism, peace"
38,World Wide Fund for Nature,Pavan Sukhdev,,,,,"Rue Mauverny,Gland, Vaud, Switzerland",Worldwide,WWF,,"
Environmentalism
Conservation
Ecology
"
39,International Federation of Catholic Parochial Youth Movements,,,,,,"Antwerpen,  Belgium",,FIMCAP,,International umbrella organization of catholic youth organizations
40,Lutheran World Relief,"Daniel V. Speckhard, President and C.E.O. Dr. William J. Craft, Chair of the Board",,,,,,"Baltimore, Maryland, US",,,
41,Forum of European Muslim Youth and Student Organizations,,,,,,,,,,
42,Diplomatic Society,,,,,,,,,,
43,COSPAR,Prof. Lennard A. Fisk,,,,,,"Paris, France",International Council for Science,,
44,Saalome Global,,,,,,,,,,
