,Name,Income($),Field,Top Person,Fiscal Year End,Headquarters,Country
0,United Way Worldwide,$3.708 billion.,Domestic Needs,Brian Gallagher,"Jun 30, 2017","Alexandria, Virginia",United States
1,Task Force for Global Health,$3.154 billion.,International Needs,David Ross,"Aug 31, 2017","Decatur, Georgia",United States
2,Feeding America,$2.150 billion.,Domestic Needs,Diana Aviv,"Jun 30, 2016","Chicago, Illinois",United States
3,Salvation Army,"$1,904 billion.",Domestic Needs,David Jeffrey,"Sep 30, 2016","Alexandria, Virginia",United States
4,YMCA,$1.202 billion.,Travel & Leisure,Kevin Washington,,"Chicago, Illinois",United States
5,St. Jude Children's Research Hospital,$1.181 billion,Healthcare & Social,"James Downing, MD",,"Memphis, Tennessee",United States
6,Food for the Poor,$1.156 billion.,International Needs,Robin Mahfood,"Dec 31, 2016","Coconut Creek, Florida",United States
7,Boys & Girls Clubs of America,$923 million.,Youth,James Clark,"Dec 31, 2016","Atlanta, Georgia",United States
8,Catholic Charities USA,$921 million.,Domestic Needs,Donna Markham,"Jun 30, 2016","Alexandria, Virginia",United States
9,Goodwill Industries International,$902 million.,Domestic Needs,James Gibbons,"Dec 31, 2016","Rockville, Maryland",United States
10,Habitat for Humanity International,$829 million.,International Needs,Jonathan Reckford,"Jun 30, 2016","Americus, Georgia",United States
11,World Vision,$825 million.,International Needs,Richard Stearns,"Sep 30, 2016","Federal Way, Washington",United States
12,American Cancer Society,$810 million.,Health,Gary Reedy,"Dec 31, 2016","Atlanta, Georgia",United States
13,Patient Access Network Foundation,$801 million.,Health,Daniel Klein,"Dec 31, 2016","Washington, District of Columbia",United States
14,Compassion International,$799 million.,International Needs,Santiago Mellado,"Jun 30, 2017","Colorado Springs, Colorado",United States
15,Direct Relief,$775 million.,International Needs,Thomas Tighe,"Jun 30, 2017","Goleta, California",United States
16,Americares Foundation,$740 million.,International Needs,Michael Nyenhuis,"Jun 30, 2016","Stamford, Connecticut",United States
17,Lutheran Services in America,$723 million.,Domestic Needs,Charlotte Haberaecker,"Jun 30, 2017","Washington, District of Columbia",United States
18,Nature Conservancy,$646 million.,Environment/Animal,Mark Tercek,,"Arlington, Virginia",United States
19,American Heart Association,$634 million.,Health,Nancy Brown,"Jun 30, 2016","Dallas, Texas",United States
20,American National Red Cross,$624 million.,Domestic Needs,Gail McGovern,"Jun 30, 2016","Washington, District of Columbia",United States
21,Samaritan's Purse,$565 million.,Domestic Needs,W. Franklin Graham III,"Dec 31, 2016","Boone, North Carolina",United States
22,MAP International,$545 million.,International Needs,Steve Stirling,"Sep 30, 2016","Brunswick, Georgia",United States
23,Step Up for Students,$#521 million.,Education,Doug Tuthill,"Jun 30, 2017","Jacksonville, Florida",United States
24,Cru,$514 million.,Religious,Stephen Douglass,"Aug 31, 2016","Orlando, Florida",United States
25,United States Fund for UNICEF,$509 million.,International Needs,Caryl Stern,"Jun 30, 2016","New York, New York",United States
26,Wounded Warrior Project,$473 million.,Domestic Needs,Michael Linnington,"Sep 30, 2016","Jacksonville, Florida",United States
27,Feed the Children,$446 million.,Domestic Needs,Travis Arnold,"Jun 30, 2016","Oklahoma City, Oklahoma",United States
28,Mount Sinai Health Systems,$439 million.,Medical,Kenneth Davis,"Dec 31, 2015","New York, New York",United States
29,Save the Children Federation,$379 million.,International Needs,Carolyn Miles,"Dec 31, 2016","Fairfield, Connecticut",United States
30,CARE USA,$378 million.,International Needs,Michelle Nunn,"Jun 30, 2016","Atlanta, Georgia",United States
31,Good 360,$377 million.,International Needs,Howard Sherman,"Dec 31, 2016","Alexandria, Virginia",United States
