,Name,Leader 1,Leader 2,Leader 3,Leader 4,Revenue,Headquarters,Location,Other names,Subsidiaries,Purpose
0,AARP Foundation,Jo Ann Jenkins,,,,,"Washington, D.C., U.S.","Offices in all 50 U.S. states, the District of Columbia, Puerto Rico and the U.S. Virgin Islands",American Association of Retired Persons,AARP FoundationAARP Services IncLegal Counsel for the Elderly,
1,Acorns Children's Hospice,,,,,,,,,,To provide palliative care
2,Action Against Hunger,,,,,,"New York, USA; Toronto, Canada; London, UK; Paris, France; Madrid, Spain",,,,To end child malnutrition whilst providing communities with access to safe water and sustainable solutions to hunger.
3,Action Deafness,,,,,,,,,,
4,ActionAid,Adriano Campolina,,,,,,Johannesburg (Headquarters),,,ActionAid works with communities to reduce poverty and promote human rights
5,Acumen,,,,,,,,,,
6,Adelson Foundation,,,,,,,"Los Angeles, California, United States",,,"Healthcare, Holocaust and Anti-Semitism Awareness, Israel Advocacy and Defense, Israel Programs, Israel Studies on Campus, Jewish and Zionist Identity & Education, Media and Culture, Welfare"
7,Adventist Development and Relief Agency,Seventh-day Adventist Church,,,,,,"Silver Spring, Maryland, USA",,,"Provides individual and community development and disaster relief, including Food Security, Economic Development, Primary Health, Emergency Management, and Basic Education"
8,Aerospace Heritage Foundation of Canada,,,,,,,,,,
9,Aleh Negev,,,,,,,,,,
10,Alex's Lemonade Stand Foundation,Stephen Cohn[1],,,,"$18,236,617[1]","Bala Cynwyd, Pennsylvania, United States[1]",,,,Grantmaking for medical research; public awareness and education; travel for pediatric cancer patients and their families.[1]
11,Alexander S. Onassis Foundation,,,,,,,,,,
12,Allegheny Foundation,,,,,,,,,,
13,The Alliance for Safe Children,Michael Linnon (technical director),,,,,,"Vienna, Virginia;Bangkok, Thailand",,,Preventable injury in developing world
14,"Alpha Sigma Tau National Foundation, Inc.",,,,,,"3334 Founders RoadIndianapolis, Indiana 46268 USA",Over 90,,,
15,American Academy in Rome,,,,,,,"Rome, Italy New York City, United States",,,
16,American Heart Association,,,,,,,"7272 Greenville AvenueDallas, TX 75231-4596",,,
17,American Himalayan Foundation,,,,,,San Francisco,,,,"AHF works to bring life-changing education, healthcare, and opportunity for Tibetans, Sherpas, and Nepalis across the Himalaya."
18,American India Foundation,"Ajay Banga, Co-Chair
Lata Krishnan, Co-Chair
Harit Talwar, Vice Chair
Venkat Srinivasan, Vice Chair
Vimal Bahuguna
Ashish Dhawan
Pradeep Kashyap
Rohit Kapoor
Ash Lilani
Diaz Nesamoney
Nishant Pandey
Anjali Sharma
Raj Sharma
Michael Steinberg
Jay Tambe

Victor J. Menezes, Chairman Emeritus",,,,,,"New York, Delhi (India)",,,"Education, Livelihood, Public Health, Leadership Development"
19,American Indian College Fund,,,,,,,,,,
20,American Near East Refugee Aid,,,,,,,"Washington, D.C.",,,
21,American Red Cross,Gail J. McGovern[2],,,,,"Washington, D.C., U.S.",,,,Humanitarian aid
22,Amici del Mondo World Friends Onlus,president Silvana Merico  vice-president Mario Toti,,,,,,"Viale Egeo 137, 00144 Rome, ItalyTheta Lane - P.O. BOX 39433-00623, Nairobi, Kenya",,,"Health, education, housing, cooperation"
23,Amref Health Africa,,,,,,,,,,
24,Andrew W. Mellon Foundation,"Elizabeth Alexander, President",,,,"$380,179,226[1]",,New York City,,,Higher educationMuseums and art conservationPerforming artsConservation
25,Artforum Culture Foundation,,,,,,,,,,
26,Asbestos Disease Awareness Organization,,,,,,,,,,
27,The Asia Foundation,,,,,"$120,916,066[1]","San Francisco, CA, United States",,,,
28,Association L'APPEL,,,,,,,"Paris, France",,,
29,Association of Gospel Rescue Missions,John Ashmen,,,,,,"Colorado Springs, Colorado, United States",,,
30,Atlantic Philanthropies,"Christopher Oechsli, Martin O'Brien",,,,,,,,,"Ageing, youth, human rights, poverty, progressive advocacy[1]"
31,Azim Premji Foundation,,,,,,,,,,
32,Baan Gerda,,,,,,,,,,
33,Beckstrand Cancer Foundation,,,,,,,,,,
34,Best Friends Animal Society,Gregory Castle[5],,,,"$87,144,293[1]",,"Kanab, Utah, U.S.[1]",Best Friends Animal Sanctuary,"Best Friends Productions LLC, 1089 Wykoff LLC, 307 West Broadway LLC, Chuff LLC, Amber Housing LLC, Best Friends Wellness Center Inc[1]","Animal welfare, animal rights"
35,Bharat Sevashram Sangha,,,,,,Kolkata,,,,"Educational, Philanthropic, Religious Studies, Spirituality"
36,Big Brothers Big Sisters of America,"Pam Iorio,[1] President and CEO",,,,,"Tampa, Florida, United States",,,,"Mentorship, education"
37,Big Brothers Big Sisters of Canada,"W. Matthew Chater, M.Ed.",,,,,,Canada,,,Mentoring programs for children and youth
38,Big Brothers Big Sisters of New York City,Hector Batista,,,,,"New York, NY","New York, NY",BBBSA,,Mentoring
39,Bill & Melinda Gates Foundation,Bill Gates (Co-Chair)Melinda Gates (Co-Chair)William H. Gates Sr. (Co-Chair)Susan Desmond-Hellmann (CEO),,,,,"Seattle, Washington, US",,William H. Gates Foundation,,"Healthcare, Education, Ending poverty"
40,Bilqees Sarwar Foundation,,,,,,"Lahore, Pakistan",,,,"Healthcare, Education, Ambulance, Humanitarian Aid"
41,Bloomberg Philanthropies,"Michael R. Bloomberg, founder Patti Harris, CEO",,,,,,"New York City, United States of America",,,"Environment, Public Health, the Arts, Government Innovation, Education, Women's Economic Development in Africa"
42,Born This Way Foundation,,,,,"$903,263[2]",,,,,
43,Boys & Girls Clubs of America,,,,,,"Atlanta, Georgia",,,,"""Club programs and services promote and enhance the development of boys and girls by instilling a sense of competence, usefulness, belonging and influence."""
44,Bread for the World,,,,,,,,,,
45,Bremen Overseas Research and Development Association,"Stefan Reuter, Executive DirectorJoachim Klaembt, President",,,,4.7 M Euro (2011),"Am Deich 45, D-28199 Bremen, Germany",,,,International development
46,British Heart Foundation,Doug Gurr,,,,,,"London, NW1",BHF,,Heart and circulatory diseases and their risk factors
47,Burroughs Wellcome Fund,,,,,,,,,,
48,Bush Foundation,,,,,"$71,829,464[1]","Saint Paul, MN, United States",,,,
49,CAFOD,,,,,,,,,,
50,Calouste Gulbenkian Foundation,"Calouste Sarkis Gulbenkian, Founder",,,,,,"Lisbon, Portugal",,,"arts, charity, education, and science"
51,Campaign for Liberty,"Ron Paul, ChairmanNorm Singleton, PresidentJohn McCardell, Executive DirectorHeather Danielowski, Director of State Operations",,,,,,"5211 Port Royal RoadSpringfield, Virginia",,,"Educate Americans in freedom, sound money, non-interventionism, free markets, and related positions of candidates at all levels of government."
52,The Canadian International Learning Foundation,,,,,,,"Ottawa, Ontario, Canada",CanILF,,
53,Cancer Research UK,Michelle Mitchell (CEO)Charles Swanton (Chief Clinician)Karen Vousden (Chief Scientist),,,,,,"Angel Building, 407 St John Street, London, EC1V 4AD",Imperial Cancer Research Fund (ICRF)The Cancer Research Campaign,,Cancer researchHealth policy
54,CanTeen,,,,,,,,,,
55,Cardiac Risk in the Young,,,,,,,,,,
56,CARE,Caroline Kende-Robb,,,,,,,,,Humanitarian relief and development support
57,Caritas,"Luis Antonio Tagle, president",,,,,,Vatican City,,,"Humanitarian aid, International development and social service"
