,Name,Link
0,AARP Foundation,https://en.wikipedia.org/wiki/AARP#The_AARP_Foundation
1,Acorns Children's Hospice,https://en.wikipedia.org/wiki/Acorns_Children%27s_Hospice
2,Action Against Hunger,https://en.wikipedia.org/wiki/Action_Against_Hunger
3,Action Deafness,https://en.wikipedia.org/wiki/Action_Deafness
4,ActionAid,https://en.wikipedia.org/wiki/ActionAid
5,Acumen,https://en.wikipedia.org/wiki/Acumen_(organization)
6,Adelson Foundation,https://en.wikipedia.org/wiki/Adelson_Foundation
7,Adventist Development and Relief Agency,https://en.wikipedia.org/wiki/Adventist_Development_and_Relief_Agency
8,Aerospace Heritage Foundation of Canada,https://en.wikipedia.org/wiki/Aerospace_Heritage_Foundation_of_Canada
9,Aleh Negev,https://en.wikipedia.org/wiki/Aleh_Negev
10,Alex's Lemonade Stand Foundation,https://en.wikipedia.org/wiki/Alex%27s_Lemonade_Stand_Foundation
11,Alexander S. Onassis Foundation,https://en.wikipedia.org/wiki/Alexander_S._Onassis_Foundation
12,Allegheny Foundation,https://en.wikipedia.org/wiki/Allegheny_Foundation
13,The Alliance for Safe Children,https://en.wikipedia.org/wiki/The_Alliance_for_Safe_Children
14,"Alpha Sigma Tau National Foundation, Inc.","https://en.wikipedia.org/wiki/Alpha_Sigma_Tau_National_Foundation,_Inc."
15,American Academy in Rome,https://en.wikipedia.org/wiki/American_Academy_in_Rome
16,American Heart Association,https://en.wikipedia.org/wiki/American_Heart_Association
17,American Himalayan Foundation,https://en.wikipedia.org/wiki/American_Himalayan_Foundation
18,American India Foundation,https://en.wikipedia.org/wiki/American_India_Foundation
19,American Indian College Fund,https://en.wikipedia.org/wiki/American_Indian_College_Fund
20,American Near East Refugee Aid,https://en.wikipedia.org/wiki/American_Near_East_Refugee_Aid
21,American Red Cross,https://en.wikipedia.org/wiki/American_Red_Cross
22,Amici del Mondo World Friends Onlus,https://en.wikipedia.org/wiki/Amici_del_Mondo_World_Friends_Onlus
23,Amref Health Africa,https://en.wikipedia.org/wiki/Amref_Health_Africa
24,Andrew W. Mellon Foundation,https://en.wikipedia.org/wiki/Andrew_W._Mellon_Foundation
25,Artforum Culture Foundation,https://en.wikipedia.org/wiki/Artforum_Culture_Foundation
26,Asbestos Disease Awareness Organization,https://en.wikipedia.org/wiki/Asbestos_Disease_Awareness_Organization
27,The Asia Foundation,https://en.wikipedia.org/wiki/The_Asia_Foundation
28,Association L'APPEL,https://en.wikipedia.org/wiki/Association_L%27APPEL
29,Association of Gospel Rescue Missions,https://en.wikipedia.org/wiki/Association_of_Gospel_Rescue_Missions
30,Atlantic Philanthropies,https://en.wikipedia.org/wiki/Atlantic_Philanthropies
31,Azim Premji Foundation,https://en.wikipedia.org/wiki/Azim_Premji#Azim_Premji_Foundation_And_University
32,Baan Gerda,https://en.wikipedia.org/wiki/Baan_Gerda
33,Beckstrand Cancer Foundation,https://en.wikipedia.org/wiki/Beckstrand_Cancer_Foundation
34,Best Friends Animal Society,https://en.wikipedia.org/wiki/Best_Friends_Animal_Society
35,Bharat Sevashram Sangha,https://en.wikipedia.org/wiki/Bharat_Sevashram_Sangha
36,Big Brothers Big Sisters of America,https://en.wikipedia.org/wiki/Big_Brothers_Big_Sisters_of_America
37,Big Brothers Big Sisters of Canada,https://en.wikipedia.org/wiki/Big_Brothers_Big_Sisters_of_Canada
38,Big Brothers Big Sisters of New York City,https://en.wikipedia.org/wiki/Big_Brothers_Big_Sisters_of_New_York_City
39,Bill & Melinda Gates Foundation,https://en.wikipedia.org/wiki/Bill_%26_Melinda_Gates_Foundation
40,Bilqees Sarwar Foundation,https://en.wikipedia.org/wiki/Bilqees_Sarwar_Foundation
41,Bloomberg Philanthropies,https://en.wikipedia.org/wiki/Bloomberg_Philanthropies
42,Born This Way Foundation,https://en.wikipedia.org/wiki/Born_This_Way_Foundation
43,Boys & Girls Clubs of America,https://en.wikipedia.org/wiki/Boys_%26_Girls_Clubs_of_America
44,Bread for the World,https://en.wikipedia.org/wiki/Bread_for_the_World
45,Bremen Overseas Research and Development Association,https://en.wikipedia.org/wiki/Bremen_Overseas_Research_and_Development_Association
46,British Heart Foundation,https://en.wikipedia.org/wiki/British_Heart_Foundation
47,Burroughs Wellcome Fund,https://en.wikipedia.org/wiki/Burroughs_Wellcome_Fund
48,Bush Foundation,https://en.wikipedia.org/wiki/Bush_Foundation
49,CAFOD,https://en.wikipedia.org/wiki/CAFOD
50,Calouste Gulbenkian Foundation,https://en.wikipedia.org/wiki/Calouste_Gulbenkian_Foundation
51,Campaign for Liberty,https://en.wikipedia.org/wiki/Campaign_for_Liberty
52,The Canadian International Learning Foundation,https://en.wikipedia.org/wiki/The_Canadian_International_Learning_Foundation
53,Cancer Research UK,https://en.wikipedia.org/wiki/Cancer_Research_UK
54,CanTeen,https://en.wikipedia.org/wiki/CanTeen
55,Cardiac Risk in the Young,https://en.wikipedia.org/wiki/Cardiac_Risk_in_the_Young
56,CARE,https://en.wikipedia.org/wiki/CARE_(relief_agency)
57,Caritas,https://en.wikipedia.org/wiki/Caritas_(charity)
58,Carter Center,https://en.wikipedia.org/wiki/Carter_Center
59,Carthage Foundation,https://en.wikipedia.org/wiki/Carthage_Foundation
60,Casa Pia,https://en.wikipedia.org/wiki/Casa_Pia
61,Catholic Charities USA,https://en.wikipedia.org/wiki/Catholic_Charities_USA
62,Catholic Relief Services,https://en.wikipedia.org/wiki/Catholic_Relief_Services
63,CCIVS,https://en.wikipedia.org/wiki/CCIVS
64,Cesvi,https://en.wikipedia.org/wiki/Cesvi
65,Child In Need Institute,https://en.wikipedia.org/wiki/Child_In_Need_Institute
66,Child Watch Phuket,https://en.wikipedia.org/wiki/Child_Watch_Phuket
67,Child's Dream,https://en.wikipedia.org/wiki/Child%27s_Dream
68,Child's Play,https://en.wikipedia.org/wiki/Child%27s_Play_(charity)
69,Children at Risk,https://en.wikipedia.org/wiki/Children_at_Risk
70,Children in Need,https://en.wikipedia.org/wiki/Children_in_Need
71,Children International,https://en.wikipedia.org/wiki/Children_International
72,Children of Peace International,https://en.wikipedia.org/wiki/Children_of_Peace_International
73,Children's Defense Fund,https://en.wikipedia.org/wiki/Children%27s_Defense_Fund
74,Children's Development Trust,https://en.wikipedia.org/wiki/Children%27s_Development_Trust
75,The Children's Investment Fund Foundation,https://en.wikipedia.org/wiki/The_Children%27s_Investment_Fund_Foundation
76,Children's Liver Disease Foundation,https://en.wikipedia.org/wiki/Children%27s_Liver_Disease_Foundation
77,Children's Miracle Network Hospitals,https://en.wikipedia.org/wiki/Children%27s_Miracle_Network_Hospitals
78,Children's National Medical Center,https://en.wikipedia.org/wiki/Children%27s_National_Medical_Center
79,Christian Blind Mission,https://en.wikipedia.org/wiki/Christian_Blind_Mission
80,Christian Care Foundation for Children with Disabilities,https://en.wikipedia.org/wiki/Christian_Care_Foundation_for_Children_with_Disabilities
81,Christian Children's Fund of Canada,https://en.wikipedia.org/wiki/Christian_Children%27s_Fund_of_Canada
82,Church World Service,https://en.wikipedia.org/wiki/Church_World_Service
83,The Citizens Foundation,https://en.wikipedia.org/wiki/The_Citizens_Foundation
84,City Year,https://en.wikipedia.org/wiki/City_Year
