,node_id,ShellName,CharityName,CharityHeadquarters
2,20043195,ACUMEN CORP.,Acumen,
3,20045185,VISION INTERNATIONAL LIMITED,World Vision International,
6,20063116,CANTEEN LIMITED,CanTeen,
9,20068610,LIONS INTERNATIONAL LIMITED,Lions Clubs International,"Oak Brook, Illinois, U.S."
10,20072346,OPPORTUNITY INTERNATIONAL LTD,Opportunity International,
12,20081329,EAST MEETS WEST LIMITED,East Meets West,
13,20075548,ACUMEN INCORPORATED,Acumen,
14,20077453,CANCER RESEARCH CORP,Cancer Research UK,
15,20081853,THE HERITAGE FOUNDATION LTD.,The Heritage Foundation,"214 Massachusetts Avenue NEWashington, D.C., U.S."
17,20075969,CARE INC,CARE,
18,20087962,ACUMEN ENTERPRISES,Acumen,
19,20125485,SANDY LIMITED, Sandy,
20,20126581,United Way Limited,United Way Worldwide,
22,20101626,INTERNATIONAL VISION LTD.,World Vision International,
24,20103513,YOUNG LIVES INC.,Young Lives,
30,21000216,The Lawrence Family Foundation,The Lawrence Foundation,"Santa Monica, CA, United States"
37,21000555,STARLIGHT GLOBAL FOUNDATION,Starlight Children's Foundation,"Los Angeles, California"
