,node_id,ShellName,CharityName,CharityHeadquarters
0,20045185,VISION INTERNATIONAL LIMITED,World Vision International,
1,20062102,CHRISTIAN INTERNATIONAL LTD.,International Christian Concern,
2,20075969,CARE INC,CARE,
3,20101626,INTERNATIONAL VISION LTD.,World Vision International,
4,20017086,MARIE INTERNATIONAL INC.,Marie Stopes International,London
5,20043195,ACUMEN CORP.,Acumen,
6,20045185,VISION INTERNATIONAL LIMITED,World Vision International,
7,20063116,CANTEEN LIMITED,CanTeen,
8,20072346,OPPORTUNITY INTERNATIONAL LTD,Opportunity International,
9,20081329,EAST MEETS WEST LIMITED,East Meets West,
10,20075548,ACUMEN INCORPORATED,Acumen,
11,20077453,CANCER RESEARCH CORP,Cancer Research UK,
"12,20081853,THE HERITAGE FOUNDATION LTD.,The Heritage Foundation,""214 Massachusetts Avenue NEWashington, D.C., U.S."""
13,20075969,CARE INC,CARE,
14,20087962,ACUMEN ENTERPRISES,Acumen,
15,20125485,SANDY LIMITED, Sandy,
16,20098131,CHARITY FOR CHILDREN ALLIANCE LTD.,The Alliance for Safe Children,
17,20103513,YOUNG LIVES INC.,Young Lives,
"18,21000216,The Lawrence Family Foundation,The Lawrence Foundation,""Santa Monica, CA, United States"""
"19,21000221,Atlantic Heritage Foundation,The Heritage Foundation,""214 Massachusetts Avenue NEWashington, D.C., U.S."""
"20,20019717,CROSS INTERNATIONAL CORP.,Cross International,""Pompano Beach, Florida"""
"21,20126581,United Way Limited,United Way Worldwide,""Alexandria, Virginia"""
"22,20098551,MEDIA FOUNDATION LTD.,Educational Media Foundation,""Rocklin, California"""
"23,20099847,GOODWILL INTERNATIONAL LTD.,Goodwill Industries International,""Rockville, Maryland"""
