,node_id,ShellName,CharityName,CharityHeadquarters
0,20017086,MARIE INTERNATIONAL INC.,Marie Stopes International,London
1,20043195,ACUMEN CORP.,Acumen,
2,20045185,VISION INTERNATIONAL LIMITED,World Vision International,
3,20063116,CANTEEN LIMITED,CanTeen,
4,20072346,OPPORTUNITY INTERNATIONAL LTD,Opportunity International,
5,20081329,EAST MEETS WEST LIMITED,East Meets West,
6,20075548,ACUMEN INCORPORATED,Acumen,
7,20077453,CANCER RESEARCH CORP,Cancer Research UK,
"8,20081853,THE HERITAGE FOUNDATION LTD.,The Heritage Foundation,""214 Massachusetts Avenue NEWashington, D.C., U.S."""
10,20075969,CARE INC,CARE,
11,20087962,ACUMEN ENTERPRISES,Acumen,
12,20125485,SANDY LIMITED, Sandy,
13,20098131,CHARITY FOR CHILDREN ALLIANCE LTD.,The Alliance for Safe Children,
14,20103513,YOUNG LIVES INC.,Young Lives,
"15,21000216,The Lawrence Family Foundation,The Lawrence Foundation,""Santa Monica, CA, United States"""
"16,21000221,Atlantic Heritage Foundation,The Heritage Foundation,""214 Massachusetts Avenue NEWashington, D.C., U.S."""
