,node_id,ShellName,CharityName,CharityHeadquarters
0,158005,"Vision World International Co., Ltd.",World Vision International,
1,158005,"Vision World International Co., Ltd.",World Vision International,
2,174703,VISION INTERNATIONAL LIMITED,World Vision International,
3,174703,VISION INTERNATIONAL LIMITED,World Vision International,
4,158540,WORLD VISION CORP.,World Vision International,
5,158540,WORLD VISION CORP.,World Vision International,
6,208672,Adra Limited,ADRA,
7,158169,WORLD VISION LIMITED,World Vision International,
8,158169,WORLD VISION LIMITED,World Vision International,
11,169460,Care Trust,CARE,
