,node_id,ShellName,CharityName,CharityHeadquarters
"0,158005,""Vision World International Co., Ltd."",World Vision International,"
1,174703,VISION INTERNATIONAL LIMITED,World Vision International,
2,158540,WORLD VISION CORP.,World Vision International,
3,208672,Adra Limited,ADRA,
4,158169,WORLD VISION LIMITED,World Vision International,
6,169460,Care Trust,CARE,
"7,158540,WORLD VISION CORP.,World Vision,""Federal Way, Washington"""
"8,190568,International Medical Fund,Medical Teams International,""Tigard, Oregon"""
"9,158169,WORLD VISION LIMITED,World Vision,""Federal Way, Washington"""
"10,133188,THE ASIA TRUST,The Asia Foundation,""San Francisco, CA, United States"""
11,147116,INTERNATIONAL MEDICAL CORPORATION,International Medical Corps,
"12,158005,""Vision World International Co., Ltd."",World Vision International,"
13,158540,WORLD VISION CORP.,World Vision International,
14,186740,Sandy Wu, Sandy,
15,166497,Crystal Global Fund,Global Greengrants Fund,
16,164742,Crystal Global Fund,Global Greengrants Fund,
17,190568,International Medical Fund,International Medical Corps,
18,197748,EAST MEETS WEST INTERNATIONAL LIMITED,East Meets West,
19,158169,WORLD VISION LIMITED,World Vision International,
