,node_id,ShellName,CharityName,CharityHeadquarters
"0,133188,THE ASIA TRUST,The Asia Foundation,""San Francisco, CA, United States"""
1,147116,INTERNATIONAL MEDICAL CORPORATION,International Medical Corps,
"2,158005,""Vision World International Co., Ltd."",World Vision International,"
3,158540,WORLD VISION CORP.,World Vision International,
5,186740,Sandy Wu, Sandy,
6,166497,Crystal Global Fund,Global Greengrants Fund,
7,164742,Crystal Global Fund,Global Greengrants Fund,
11,190568,International Medical Fund,International Medical Corps,
16,197748,EAST MEETS WEST INTERNATIONAL LIMITED,East Meets West,
17,158169,WORLD VISION LIMITED,World Vision International,
