,node_id,ShellName,CharityName,CharityHeadquarters
0,10037228,WORLD VISION LIMITED,World Vision International,
1,10083101,COSPAR LTD.,COSPAR,
2,10181757,WORLD INTERNATIONAL LTD.,World Vision International,
3,10181919,CHRISTIAN INTERNATIONAL LTD.,International Christian Concern,
"4,10037228,WORLD VISION LIMITED,World Vision,""Federal Way, Washington"""
5,10034270,VISION INTERNATIONAL CORP.,World Vision International,
6,10037228,WORLD VISION LIMITED,World Vision International,
7,10106174,EAST MEETS WEST LTD.,East Meets West,
8,10159381,CARITAS FOUNDATION,Caritas,
9,10134266,MARIE INTERNATIONAL LIMITED,Marie Stopes International,London
10,10161735,VILLAGE FOUNDATION,Global Village Foundation,
"11,10164621,WESTON INTERNATIONAL FOUNDATION,Garfield Weston Foundation,""London, United Kingdom"""
12,10164621,WESTON INTERNATIONAL FOUNDATION,The Weston Foundation,
"13,10164728,THE ALEXANDER HERITAGE FOUNDATION,The Heritage Foundation,""214 Massachusetts Avenue NEWashington, D.C., U.S."""
"14,10165573,HERITAGE VALUE FOUNDATION,The Heritage Foundation,""214 Massachusetts Avenue NEWashington, D.C., U.S."""
"15,10166682,WESTON GROUP FOUNDATION,Garfield Weston Foundation,""London, United Kingdom"""
16,10166682,WESTON GROUP FOUNDATION,The Weston Foundation,
17,10166896,VANCOUVER PROPERTY FOUNDATION,Vancouver Foundation,
"18,10167253,NATIONS FOUNDATION,United Nations Foundation,""Washington, D.C., United States"""
"19,10167679,HERITAGE GLOBAL FOUNDATION,The Heritage Foundation,""214 Massachusetts Avenue NEWashington, D.C., U.S."""
20,10168737,CARTHAGE  FOUNDATION,Carthage Foundation,
21,10169207,MARIE INTERNATIONAL INC.,Marie Stopes International,London
22,10212191,VANCOUVER PROPERTY FOUNDATION,Vancouver Foundation,
"23,10213977,HERITAGE GLOBAL FOUNDATION,The Heritage Foundation,""214 Massachusetts Avenue NEWashington, D.C., U.S."""
