,node_id,ShellName,CharityName,CharityHeadquarters
1,10034270,VISION INTERNATIONAL CORP.,World Vision International,
2,10037228,WORLD VISION LIMITED,World Vision International,
3,10106174,EAST MEETS WEST LTD.,East Meets West,
4,10159381,CARITAS FOUNDATION,Caritas,
5,10134266,MARIE INTERNATIONAL LIMITED,Marie Stopes International,London
6,10161735,VILLAGE FOUNDATION,Global Village Foundation,
"7,10164621,WESTON INTERNATIONAL FOUNDATION,Garfield Weston Foundation,""London, United Kingdom"""
8,10164621,WESTON INTERNATIONAL FOUNDATION,The Weston Foundation,
"9,10164728,THE ALEXANDER HERITAGE FOUNDATION,The Heritage Foundation,""214 Massachusetts Avenue NEWashington, D.C., U.S."""
"10,10165573,HERITAGE VALUE FOUNDATION,The Heritage Foundation,""214 Massachusetts Avenue NEWashington, D.C., U.S."""
"11,10166682,WESTON GROUP FOUNDATION,Garfield Weston Foundation,""London, United Kingdom"""
12,10166682,WESTON GROUP FOUNDATION,The Weston Foundation,
13,10166896,VANCOUVER PROPERTY FOUNDATION,Vancouver Foundation,
"14,10167253,NATIONS FOUNDATION,United Nations Foundation,""Washington, D.C., United States"""
"15,10167679,HERITAGE GLOBAL FOUNDATION,The Heritage Foundation,""214 Massachusetts Avenue NEWashington, D.C., U.S."""
16,10168737,CARTHAGE  FOUNDATION,Carthage Foundation,
17,10169207,MARIE INTERNATIONAL INC.,Marie Stopes International,London
18,10212191,VANCOUVER PROPERTY FOUNDATION,Vancouver Foundation,
"19,10213977,HERITAGE GLOBAL FOUNDATION,The Heritage Foundation,""214 Massachusetts Avenue NEWashington, D.C., U.S."""
