,node_id,ShellName,CharityName,CharityHeadquarters
0,82010944,Managed Care,CARE,
1,82012837,Green World International,World Vision International,
2,82012837,Green World International,World Vision International,
3,85011692,VISION INTERNATIONAL A.V.V.,World Vision International,
4,85011692,VISION INTERNATIONAL A.V.V.,World Vision International,
5,85005753,POOL CARE,CARE,
6,85016969,CAR CARE,CARE,
7,85028610,NEW WORLD INTERNATIONAL,World Vision International,
8,85028610,NEW WORLD INTERNATIONAL,World Vision International,
9,85029435,MOTHERS CARE,CARE,
10,30018347,WEE CARE,CARE,
11,100318846,VISION WORLD INC.,World Vision International,
12,100318846,VISION WORLD INC.,World Vision International,
13,200108340,CHRISTIAN INTERNATIONAL LIMITED,International Christian Concern,
14,200800561,THE CHILDREN INTERNATIONAL TRUST,Save the Children International,
15,200802080,THIRD WORLD INTERNATIONAL,World Vision International,
16,200802080,THIRD WORLD INTERNATIONAL,World Vision International,
17,55048930,Vision World Ltd,World Vision International,
18,55048930,Vision World Ltd,World Vision International,
