,node_id,ShellName,CharityName,CharityHeadquarters
1,85011692,VISION INTERNATIONAL A.V.V.,World Vision International,
2,85028610,NEW WORLD INTERNATIONAL,World Vision International,
3,100318846,VISION WORLD INC.,World Vision International,
4,200108340,CHRISTIAN INTERNATIONAL LIMITED,International Christian Concern,
5,55048930,Vision World Ltd,World Vision International,
"6,85023070,360,Good 360,""Alexandria, Virginia"""
"7,30011100,""AMERICAN MUSEUM OF NATURAL HISTORY, THE"",American Museum of Natural History,""New York, New York"""
"8,100318846,VISION WORLD INC.,World Vision,""Federal Way, Washington"""
"9,101208524,THE NATURE CONSERVANCY,Nature Conservancy,""Arlington, Virginia"""
"10,101422196,INTERNATIONAL RESCUE LTD.,International Rescue Committee,""New York, New York"""
"11,200117453,INTERNATIONAL RESCUE LTD,International Rescue Committee,""New York, New York"""
"12,200142576,American Jewish Committee Inc.,American Jewish Joint Distribution Committee,""New York, New York"""
"13,55048930,Vision World Ltd,World Vision,""Federal Way, Washington"""
"14,55087396,MAP,MAP International,""Brunswick, Georgia"""
15,82011463,International Opportunity IV,Opportunity International,
16,85011692,VISION INTERNATIONAL A.V.V.,World Vision International,
17,85005883,CONFETTI,Confetti Foundation,
18,85006119,SANDY WHOLESALE, Sandy,
19,85004192,TRAFFIC N.V.,Traffic,
20,85013089,CHILD WATCH,Child Watch Phuket,
21,85019636,TRAFFIC 2000,Traffic,
22,85027973,STICHTING JE FOUNDATION,Stichting INGKA Foundation,Liechtenstein
23,85029309,CHILD WATCH,Child Watch Phuket,
24,85041055,YOUTH WITH A MISSION A-B-C- FOUNDATION,Youth With A Mission,
"25,85042050,THE ARUBA HERITAGE MUSEUM FOUNDATION,The Heritage Foundation,""214 Massachusetts Avenue NEWashington, D.C., U.S."""
26,85047573,STICHTING MICKY'S FOUNDATION,Stichting INGKA Foundation,Liechtenstein
27,30018053,UNITED ARTISTS LIMITED,United States Artists,
28,30018347,WEE CARE,CARE,
29,100318846,VISION WORLD INC.,World Vision International,
30,101803231,ROYAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS OF BARBADOS,Royal Society for the Prevention of Cruelty to Animals,
31,101809479,YOUTH WITH A MISSION INC,Youth With A Mission,
32,200100101,FIRST DIRECTOR LIMITED, first Director,
33,200115350,ACUMEN INC.,Acumen,
34,200138759,National Medical Research Center Limited,Children's National Medical Center,
35,200200208,INTERNATIONAL OPPORTUNITY FOUNDATION,Opportunity International,
36,200508196,mercy international LLC,Mercy International Foundation,
37,200802203,EAST WEST TRUST,East Meets West,
38,55032526,ACUMEN LIMITED,Acumen,
39,55048930,Vision World Ltd,World Vision International,
