,node_id,ShellName,CharityName,CharityHeadquarters
1,82011463,International Opportunity IV,Opportunity International,
2,85011692,VISION INTERNATIONAL A.V.V.,World Vision International,
4,85005883,CONFETTI,Confetti Foundation,
5,85006119,SANDY WHOLESALE, Sandy,
6,85004192,TRAFFIC N.V.,Traffic,
7,85013089,CHILD WATCH,Child Watch Phuket,
9,85019636,TRAFFIC 2000,Traffic,
10,85027973,STICHTING JE FOUNDATION,Stichting INGKA Foundation,Liechtenstein
11,85029309,CHILD WATCH,Child Watch Phuket,
13,85041055,YOUTH WITH A MISSION A-B-C- FOUNDATION,Youth With A Mission,
14,85042050,THE ARUBA HERITAGE MUSEUM FOUNDATION,The Heritage Foundation,214 Massachusetts Avenue NEWashington, D.C., U.S.
15,85047573,STICHTING MICKY'S FOUNDATION,Stichting INGKA Foundation,Liechtenstein
17,30018053,UNITED ARTISTS LIMITED,United States Artists,
18,30018347,WEE CARE,CARE,
19,100318846,VISION WORLD INC.,World Vision International,
20,101803231,ROYAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS OF BARBADOS,Royal Society for the Prevention of Cruelty to Animals,
21,101809479,YOUTH WITH A MISSION INC,Youth With A Mission,
22,200100101,FIRST DIRECTOR LIMITED, first Director,
23,200115350,ACUMEN INC.,Acumen,
24,200138759,National Medical Research Center Limited,Children's National Medical Center,
25,200200208,INTERNATIONAL OPPORTUNITY FOUNDATION,Opportunity International,
26,200508196,mercy international LLC,Mercy International Foundation,
27,200802203,EAST WEST TRUST,East Meets West,
28,55032526,ACUMEN LIMITED,Acumen,
29,55048930,Vision World Ltd,World Vision International,
