,node_id,ShellName,CharityName,CharityHeadquarters
0,109972,World Vision                            ,World Vision,"Federal Way, Washington"
1,105366,American Heart Association,American Heart Association,"Dallas, Texas"
2,105366,American Heart Association,American Diabetes Association,"Alexandria, Virginia"
3,102141,The Salvation Army                      ,Salvation Army,"Alexandria, Virginia"
4,102164,International Red Cross,Cross International,"Pompano Beach, Florida"
5,122202,World Wildlife Foundation               ,World Wildlife Fund,"Washington, District of Columbia"
6,122053,Kenya Wildlife Fund                     ,World Wildlife Fund,"Washington, District of Columbia"
7,120319,The Metropolitian Museum of Art,Metropolitan Museum of Art,"New York, New York"
8,120319,The Metropolitian Museum of Art,Museum of the Bible,"Oklahoma City, Oklahoma"
9,"Martin Coleman""",USA,CARE USA,"Atlanta, Georgia"
10,2000170,the ,The Arc,"Washington, District of Columbia"
11,37736,Catholic Charities                      ,Catholic Charities USA,"Alexandria, Virginia"
12,65616,The Settlors Children,Feed the Children,"Oklahoma City, Oklahoma"
