,node_id,ShellName,CharityName,CharityHeadquarters
1,80121170,Save the Children,Save the Children Federation,Fairfield, Connecticut
2,80038331,Memorial Sloan-Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,New York, New York
4,80071000,Goodwill Industries Captive,Goodwill Industries International,Rockville, Maryland
5,80099546,Mayo Clinic,Mayo Clinic,Rochester, Minnesota
6,80101193,Memorial Sloan-Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,New York, New York
11,80132469,The Nature Conservancy,Nature Conservancy,Arlington, Virginia
12,80132639,The Rotary Foundation of Rotary International,Rotary Foundation of Rotary International,Evanston, Illinois
13,80145944,World Vision International,World Vision,Federal Way, Washington
14,80147832,Young Life,Young Life,Colorado Springs, Colorado
15,80029474,American Cancer Society,American Cancer Society,Atlanta, Georgia
17,80044242,CANCER SOCIETY,American Cancer Society,Atlanta, Georgia
21,80120531,THE SALVATION ARMY,Salvation Army,Alexandria, Virginia
22,80126915,SPCA,American SPCA,New York, New York
23,80132439,The Metropolitan Museum of Art,Metropolitan Museum of Art,New York, New York
25,80132671,The Salvation Army,Salvation Army,Alexandria, Virginia
26,80132916,The World Wildlife Fund,World Wildlife Fund,Washington, District of Columbia
28,80145911,WORLD WILDLIFE FUND,World Wildlife Fund,Washington, District of Columbia
