,node_id,ShellName,CharityName,CharityHeadquarters
1,80121170,Save the Children,Save the Children,
2,80124101,Shing - LI Ka,Li Ka Shing Foundation,
5,80066325,Ford Foundation,Ford Foundation,
7,80078753,Howard Hughes Medical Institute,Howard Hughes Medical Institute,
9,80084243,The J. Paul Getty Trust,J. Paul Getty Trust,
10,80088383,Kresge Foundation,The Kresge Foundation,
11,80093532,Li - Ka Shing,Li Ka Shing Foundation,
12,80118041,The Robert Wood Johnson Foundation,Robert Wood Johnson Foundation,
13,80118042,Robert Wood Johnson University Hospital,Robert Wood Johnson Foundation,
14,80118044,Robert Wood & Algar Wood,Robert Wood Johnson Foundation,
"16,80132138,The Duke Endowment,The Duke Endowment,""Charlotte, NC, United States"""
17,80132353,The Kresge Foundation,The Kresge Foundation,
18,80132633,The Robert Wood Johnson Foundation,Robert Wood Johnson Foundation,
19,80145944,World Vision International,World Vision International,
20,80060918,Jersey Society for the Prevention of Cruelty to Animals,Royal Society for the Prevention of Cruelty to Animals,
21,80061102,Royal Society for the Prevention of Cruelty to Animals,Royal Society for the Prevention of Cruelty to Animals,
"23,80080733,International Red Cross,American Red Cross,""Washington, D.C., U.S."""
"24,80081153,INTERNATIONAL RED CROSS,American Red Cross,""Washington, D.C., U.S."""
"25,80081281,International Red Cross,American Red Cross,""Washington, D.C., U.S."""
26,80104536,Manx Society for Prevention of Cruelty to Animals (MSPCA),Royal Society for the Prevention of Cruelty to Animals,
27,80120531,THE SALVATION ARMY,The Salvation Army,
28,80132671,The Salvation Army,The Salvation Army,
"29,80134988,International Red Cross,American Red Cross,""Washington, D.C., U.S."""
"30,80138587,UNICEF,UNICEF,""New York, USA"""
46,56006047,SOCIETY OF LADIES OF CHARITY OF ST. VINCENT DE PAULE,Society of Saint Vincent de Paul,
47,56015006,LIBRA PRIVATE FOUNDATION,Libra Foundation,
"49,56040661,THE BUSH FOUNDATION,Bush Foundation,""Saint Paul, MN, United States"""
72,56095879,ROBERT BOSCH GMBH,Robert Bosch Stiftung,
