,0,1,2,3
0,20017086,MARIE INTERNATIONAL INC.,Marie Stopes International,London
1,20043195,ACUMEN CORP.,Acumen,
2,20045185,VISION INTERNATIONAL LIMITED,World Vision International,
3,20063116,CANTEEN LIMITED,CanTeen,
4,20072346,OPPORTUNITY INTERNATIONAL LTD,Opportunity International,
5,20081329,EAST MEETS WEST LIMITED,East Meets West,
6,20075548,ACUMEN INCORPORATED,Acumen,
7,20077453,CANCER RESEARCH CORP,Cancer Research UK,
8, D.C.," U.S.""""""",,
9,20075969,CARE INC,CARE,
10,20087962,ACUMEN ENTERPRISES,Acumen,
11,20125485,SANDY LIMITED, Sandy,
12,20098131,CHARITY FOR CHILDREN ALLIANCE LTD.,The Alliance for Safe Children,
13,20103513,YOUNG LIVES INC.,Young Lives,
14, CA," United States""""""",,
15, D.C.," U.S.""""""",,
16,20045185,VISION INTERNATIONAL LIMITED,World Vision International,
17,20062102,CHRISTIAN INTERNATIONAL LTD.,International Christian Concern,
18,20075969,CARE INC,CARE,
19,20101626,INTERNATIONAL VISION LTD.,World Vision International,
20," Florida""""""",,,
21," Virginia""""""",,,
22," California""""""",,,
23," Maryland""""""",,,
