,0,1,2,3
0,12048846,LI KA SHING,Li Ka Shing Foundation,
1,12057905,THE STARLIGHT FOUNDATION,Starlight Children's Foundation,"Los Angeles, California"
2,12111264,FORD FOUNDATION,Ford Foundation,
3,12128743,LI KA SHING,Li Ka Shing Foundation,
4,12180141,HERITAGE VALUE FOUNDATION,The Heritage Foundation,"214 Massachusetts Avenue NEWashington,"
5,13002333,UNICEF,UNICEF,"New York, USA"
6,12197376,CHRISTIAN INTERNATIONAL LTD,International Christian Concern,
7," New York""""""",,,
8," District of Columbia""""""",,,
9,10034270,VISION INTERNATIONAL CORP.,World Vision International,
10,10037228,WORLD VISION LIMITED,World Vision International,
11,10106174,EAST MEETS WEST LTD.,East Meets West,
12,10159381,CARITAS FOUNDATION,Caritas,
13,10134266,MARIE INTERNATIONAL LIMITED,Marie Stopes International,London
14,10161735,VILLAGE FOUNDATION,Global Village Foundation,
15," United Kingdom""""""",,,
16,10164621,WESTON INTERNATIONAL FOUNDATION,The Weston Foundation,
17, D.C.," U.S.""""""",,
18, D.C.," U.S.""""""",,
19," United Kingdom""""""",,,
20,10166682,WESTON GROUP FOUNDATION,The Weston Foundation,
21,10166896,VANCOUVER PROPERTY FOUNDATION,Vancouver Foundation,
22, D.C.," United States""""""",,
23, D.C.," U.S.""""""",,
24,10168737,CARTHAGE  FOUNDATION,Carthage Foundation,
25,10169207,MARIE INTERNATIONAL INC.,Marie Stopes International,London
26,10212191,VANCOUVER PROPERTY FOUNDATION,Vancouver Foundation,
27, D.C.," U.S.""""""",,
28,10037228,WORLD VISION LIMITED,World Vision International,
29,10083101,COSPAR LTD.,COSPAR,
30,10181757,WORLD INTERNATIONAL LTD.,World Vision International,
31,10181919,CHRISTIAN INTERNATIONAL LTD.,International Christian Concern,
32," Washington""""""",,,
