,0,1,2,3
0,109972,World Vision                            ,World Vision International,
1,105366,American Heart Association,American Heart Association,
2,102141,The Salvation Army                      ,The Salvation Army,
3, D.C.," U.S.""""""",,
4," Netherlands""""""",,,
5,37736,Catholic Charities                      ,Catholic Charities USA,
6," USA""""""",,,
7,109972,World Vision                            ,World Vision International,
8,109972,World Vision                            ,World Vision International,
9," Netherlands""""""",,,
10," WC1United Kingdom""""""",,,
11," Washington""""""",,,
12," Texas""""""",,,
13," Virginia""""""",,,
14," Florida""""""",,,
15," District of Columbia""""""",,,
16," New York""""""",,,
17," Virginia""""""",,,
18,147116,INTERNATIONAL MEDICAL CORPORATION,International Medical Corps,
19,158005,"Vision World International Co., Ltd.",World Vision International,
20,174703,VISION INTERNATIONAL LIMITED,World Vision International,
21,158540,WORLD VISION CORP.,World Vision International,
22,197748,EAST MEETS WEST INTERNATIONAL LIMITED,East Meets West,
23,158169,WORLD VISION LIMITED,World Vision International,
24,169460,Care Trust,CARE,
25,158005,"Vision World International Co., Ltd.",World Vision International,
26,158005,"Vision World International Co., Ltd.",World Vision International,
27,174703,VISION INTERNATIONAL LIMITED,World Vision International,
28,174703,VISION INTERNATIONAL LIMITED,World Vision International,
29,158540,WORLD VISION CORP.,World Vision International,
30,158540,WORLD VISION CORP.,World Vision International,
31,208672,Adra Limited,ADRA,
32,158169,WORLD VISION LIMITED,World Vision International,
33,158169,WORLD VISION LIMITED,World Vision International,
34,169460,Care Trust,CARE,
35,158540,WORLD VISION CORP.,World Vision,"Federal Way, Washington"
36,158169,WORLD VISION LIMITED,World Vision,"Federal Way, Washington"
