,0,1,2,3
0,12048846,LI KA SHING,Li Ka Shing Foundation,
1,12111264,FORD FOUNDATION,Ford Foundation,
2,12128743,LI KA SHING,Li Ka Shing Foundation,
3,13002333,UNICEF,UNICEF,New York
4,12032292,ROBIN HOOD HOLDINGS,Robin Hood Foundation,New York
5,13007414,WORLD WILDLIFE FUND,World Wildlife Fund,Washington
6,10034270,VISION INTERNATIONAL CORP.,World Vision International,
7,10037228,WORLD VISION LIMITED,World Vision International,
8,10106174,EAST MEETS WEST LTD.,East Meets West,
9,10159381,CARITAS FOUNDATION,Caritas,
10,10134266,MARIE INTERNATIONAL LIMITED,Marie Stopes International,London
11,10161735,VILLAGE FOUNDATION,Global Village Foundation,
12,10164621,WESTON INTERNATIONAL FOUNDATION,Garfield Weston Foundation,London
13,10164621,WESTON INTERNATIONAL FOUNDATION,The Weston Foundation,
14,10164728,THE ALEXANDER HERITAGE FOUNDATION,The Heritage Foundation,214 Massachusetts Avenue NEWashington
15,10165573,HERITAGE VALUE FOUNDATION,The Heritage Foundation,214 Massachusetts Avenue NEWashington
16,10166682,WESTON GROUP FOUNDATION,Garfield Weston Foundation,London
17,10166682,WESTON GROUP FOUNDATION,The Weston Foundation,
18,10166896,VANCOUVER PROPERTY FOUNDATION,Vancouver Foundation,
19,10167253,NATIONS FOUNDATION,United Nations Foundation,Washington
20,10167679,HERITAGE GLOBAL FOUNDATION,The Heritage Foundation,214 Massachusetts Avenue NEWashington
21,10168737,CARTHAGE  FOUNDATION,Carthage Foundation,
22,10169207,MARIE INTERNATIONAL INC.,Marie Stopes International,London
23,10212191,VANCOUVER PROPERTY FOUNDATION,Vancouver Foundation,
24,10213977,HERITAGE GLOBAL FOUNDATION,The Heritage Foundation,214 Massachusetts Avenue NEWashington
25,10037228,WORLD VISION LIMITED,World Vision International,
26,10083101,COSPAR LTD.,COSPAR,
27,10181757,WORLD INTERNATIONAL LTD.,World Vision International,
28,10181919,CHRISTIAN INTERNATIONAL LTD.,International Christian Concern,
29,10037228,WORLD VISION LIMITED,World Vision,Federal Way
