,0,1,2,3
0,109972,World Vision                            ,World Vision International,
1,105366,American Heart Association,American Heart Association,
2,102141,The Salvation Army                      ,The Salvation Army,
3, D.C.," U.S.""""""",,
4," Netherlands""""""",,,
5,37736,Catholic Charities                      ,Catholic Charities USA,
6," USA""""""",,,
7,109972,World Vision                            ,World Vision International,
8," Netherlands""""""",,,
9," WC1United Kingdom""""""",,,
10," Washington""""""",,,
11," Texas""""""",,,
12," Virginia""""""",,,
13," Florida""""""",,,
14," District of Columbia""""""",,,
15," New York""""""",,,
16," Virginia""""""",,,
