,0,1,2,3
0,80121170,Save the Children,Save the Children,
1,80124101,Shing - LI Ka,Li Ka Shing Foundation,
2,80066325,Ford Foundation,Ford Foundation,
3,80078753,Howard Hughes Medical Institute,Howard Hughes Medical Institute,
4,80084243,The J. Paul Getty Trust,J. Paul Getty Trust,
5,80088383,Kresge Foundation,The Kresge Foundation,
6,80093532,Li - Ka Shing,Li Ka Shing Foundation,
7,80118041,The Robert Wood Johnson Foundation,Robert Wood Johnson Foundation,
8,80118042,Robert Wood Johnson University Hospital,Robert Wood Johnson Foundation,
9,80118044,Robert Wood & Algar Wood,Robert Wood Johnson Foundation,
10, NC," United States""""""",,
11,80132353,The Kresge Foundation,The Kresge Foundation,
12,80132633,The Robert Wood Johnson Foundation,Robert Wood Johnson Foundation,
13,80145944,World Vision International,World Vision International,
14,80060918,Jersey Society for the Prevention of Cruelty to Animals,Royal Society for the Prevention of Cruelty to Animals,
15,80061102,Royal Society for the Prevention of Cruelty to Animals,Royal Society for the Prevention of Cruelty to Animals,
16, D.C.," U.S.""""""",,
17, D.C.," U.S.""""""",,
18, D.C.," U.S.""""""",,
19,80104536,Manx Society for Prevention of Cruelty to Animals (MSPCA),Royal Society for the Prevention of Cruelty to Animals,
20,80120531,THE SALVATION ARMY,The Salvation Army,
21,80132671,The Salvation Army,The Salvation Army,
22, D.C.," U.S.""""""",,
23," USA""""""",,,
24,56006047,SOCIETY OF LADIES OF CHARITY OF ST. VINCENT DE PAULE,Society of Saint Vincent de Paul,
25,56015006,LIBRA PRIVATE FOUNDATION,Libra Foundation,
26, MN," United States""""""",,
27,56095879,ROBERT BOSCH GMBH,Robert Bosch Stiftung,
28,80121170,Save the Children,Save the Children,
29,80121170,Save the Children,Save the Children International,
30,80145944,World Vision International,World Vision International,
31," WC1United Kingdom""""""",,,
32," WC1United Kingdom""""""",,,
33,80121170,Save the Children,Save the Children Federation,"Fairfield, Connecticut"
34,80038331,Memorial Sloan-Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,"New York, New York"
35,80071000,Goodwill Industries Captive,Goodwill Industries International,"Rockville, Maryland"
36,80099546,Mayo Clinic,Mayo Clinic,"Rochester, Minnesota"
37,80101193,Memorial Sloan-Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,"New York, New York"
38,80132469,The Nature Conservancy,Nature Conservancy,"Arlington, Virginia"
39,80132639,The Rotary Foundation of Rotary International,Rotary Foundation of Rotary International,"Evanston, Illinois"
40,80145944,World Vision International,World Vision,"Federal Way, Washington"
41,80147832,Young Life,Young Life,"Colorado Springs, Colorado"
42,80029474,American Cancer Society,American Cancer Society,"Atlanta, Georgia"
43,80044242,CANCER SOCIETY,American Cancer Society,"Atlanta, Georgia"
44,80120531,THE SALVATION ARMY,Salvation Army,"Alexandria, Virginia"
45,80126915,SPCA,American SPCA,"New York, New York"
46,80132439,The Metropolitan Museum of Art,Metropolitan Museum of Art,"New York, New York"
47,80132671,The Salvation Army,Salvation Army,"Alexandria, Virginia"
48,80132916,The World Wildlife Fund,World Wildlife Fund,"Washington, District of Columbia"
49,80145911,WORLD WILDLIFE FUND,World Wildlife Fund,"Washington, District of Columbia"
