,START_ID,TYPE,END_ID,link,start_date,end_date,sourceID,valid_until
0,147116,registered_address,236724,registered address,,,Offshore Leaks,The Offshore Leaks data is current through 2010
1,174703,registered_address,237148,registered address,,,Offshore Leaks,The Offshore Leaks data is current through 2010
2,166497,registered_address,164742,related entity,,,Offshore Leaks,The Offshore Leaks data is current through 2010
3,166497,registered_address,238003,registered address,,,Offshore Leaks,The Offshore Leaks data is current through 2010
4,164742,registered_address,166497,related entity,,,Offshore Leaks,The Offshore Leaks data is current through 2010
5,190568,registered_address,264051,registered address,,,Offshore Leaks,The Offshore Leaks data is current through 2010
6,197748,registered_address,264050,registered address,,,Offshore Leaks,The Offshore Leaks data is current through 2010
7,208672,registered_address,268974,registered address,,,Offshore Leaks,The Offshore Leaks data is current through 2010
8,72219,officer_of,158005,shareholder of,2008-03-05,,Offshore Leaks,The Offshore Leaks data is current through 2010
9,72219,officer_of,158005,secretary of,2008-03-05,,Offshore Leaks,The Offshore Leaks data is current through 2010
10,72219,officer_of,158005,director of,2008-03-05,,Offshore Leaks,The Offshore Leaks data is current through 2010
11,109972,officer_of,169289,beneficiary of,1991-07-17,,Offshore Leaks,The Offshore Leaks data is current through 2010
12,87806,officer_of,158169,director of,2008-08-18,,Offshore Leaks,The Offshore Leaks data is current through 2010
13,87806,officer_of,158169,secretary of,2008-08-18,,Offshore Leaks,The Offshore Leaks data is current through 2010
14,87806,officer_of,158169,shareholder of,2008-03-19,,Offshore Leaks,The Offshore Leaks data is current through 2010
15,92722,officer_of,158540,shareholder of,2008-04-24,,Offshore Leaks,The Offshore Leaks data is current through 2010
16,90731,officer_of,158540,shareholder of,2008-04-24,,Offshore Leaks,The Offshore Leaks data is current through 2010
17,75068,officer_of,158540,shareholder of,2008-04-24,,Offshore Leaks,The Offshore Leaks data is current through 2010
18,75505,officer_of,158540,shareholder of,2008-04-24,,Offshore Leaks,The Offshore Leaks data is current through 2010
19,75691,officer_of,158540,shareholder of,2008-04-24,,Offshore Leaks,The Offshore Leaks data is current through 2010
20,75771,officer_of,158540,shareholder of,2008-04-24,,Offshore Leaks,The Offshore Leaks data is current through 2010
21,76291,officer_of,158540,secretary of,2008-04-24,,Offshore Leaks,The Offshore Leaks data is current through 2010
22,95456,officer_of,169460,trust settlor of,,,Offshore Leaks,The Offshore Leaks data is current through 2010
23,91923,officer_of,158005,shareholder of,2008-03-05,,Offshore Leaks,The Offshore Leaks data is current through 2010
24,91923,officer_of,158005,director of,2008-03-05,,Offshore Leaks,The Offshore Leaks data is current through 2010
25,105366,officer_of,170507,beneficiary of,2000-10-27,,Offshore Leaks,The Offshore Leaks data is current through 2010
26,81544,officer_of,158005,shareholder of,2008-03-05,,Offshore Leaks,The Offshore Leaks data is current through 2010
27,81544,officer_of,158005,director of,2008-03-05,,Offshore Leaks,The Offshore Leaks data is current through 2010
28,84445,officer_of,158540,director of,2008-04-24,,Offshore Leaks,The Offshore Leaks data is current through 2010
29,84445,officer_of,158540,shareholder of,2008-04-24,,Offshore Leaks,The Offshore Leaks data is current through 2010
30,94477,officer_of,158540,shareholder of,2008-04-24,,Offshore Leaks,The Offshore Leaks data is current through 2010
31,77721,officer_of,158540,shareholder of,2008-04-24,,Offshore Leaks,The Offshore Leaks data is current through 2010
32,79919,officer_of,158540,shareholder of,2008-04-24,,Offshore Leaks,The Offshore Leaks data is current through 2010
33,112458,officer_of,158540,shareholder of,2008-04-24,,Offshore Leaks,The Offshore Leaks data is current through 2010
34,98828,officer_of,158540,shareholder of,2008-04-24,,Offshore Leaks,The Offshore Leaks data is current through 2010
35,109057,officer_of,169460,beneficiary of,,,Offshore Leaks,The Offshore Leaks data is current through 2010
36,86009,officer_of,158540,shareholder of,2008-04-24,,Offshore Leaks,The Offshore Leaks data is current through 2010
37,100976,officer_of,166497,director of,2007-11-06,,Offshore Leaks,The Offshore Leaks data is current through 2010
38,102141,officer_of,168995,beneficiary of,1993-05-05,,Offshore Leaks,The Offshore Leaks data is current through 2010
39,102164,officer_of,169589,beneficiary of,,,Offshore Leaks,The Offshore Leaks data is current through 2010
40,102164,officer_of,169189,beneficiary of,1996-01-24,,Offshore Leaks,The Offshore Leaks data is current through 2010
41,102164,officer_of,169065,beneficiary of,1995-06-30,,Offshore Leaks,The Offshore Leaks data is current through 2010
42,102164,officer_of,169063,beneficiary of,1995-06-30,,Offshore Leaks,The Offshore Leaks data is current through 2010
43,102164,officer_of,126155,beneficiary of,1994-10-17,,Offshore Leaks,The Offshore Leaks data is current through 2010
44,102164,officer_of,133829,beneficiary of,1998-05-22,,Offshore Leaks,The Offshore Leaks data is current through 2010
45,102164,officer_of,169464,beneficiary of,1999-02-26,,Offshore Leaks,The Offshore Leaks data is current through 2010
46,102164,officer_of,169806,beneficiary of,1998-08-20,,Offshore Leaks,The Offshore Leaks data is current through 2010
47,102164,officer_of,169805,beneficiary of,1998-08-20,1998-09-10,Offshore Leaks,The Offshore Leaks data is current through 2010
48,96909,officer_of,158005,shareholder of,2008-03-05,,Offshore Leaks,The Offshore Leaks data is current through 2010
49,96909,officer_of,158540,shareholder of,2008-04-24,,Offshore Leaks,The Offshore Leaks data is current through 2010
