,START_ID,TYPE,END_ID,link,start_date,end_date,sourceID,valid_until
0,11000128,intermediary_of,10165831,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
1,11000150,intermediary_of,10167398,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
2,11000269,intermediary_of,10165573,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
3,11000382,intermediary_of,10168786,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
4,11000402,intermediary_of,10169327,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
5,11000795,intermediary_of,10164621,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
6,11000795,intermediary_of,10164054,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
7,11000831,intermediary_of,10168427,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
8,11001520,intermediary_of,10166344,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
9,11001975,intermediary_of,10181919,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
10,11001994,intermediary_of,10166896,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
11,11002442,intermediary_of,10212191,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
12,11002790,intermediary_of,10162768,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
13,11002845,intermediary_of,10168737,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
14,11003170,intermediary_of,10166682,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
15,11003237,intermediary_of,10037228,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
16,11003955,intermediary_of,10212007,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
17,11005398,intermediary_of,10164958,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
18,11005424,intermediary_of,10163628,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
19,11006258,intermediary_of,10106174,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
20,11007207,intermediary_of,10003688,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
21,11007207,intermediary_of,10150136,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
22,11009521,intermediary_of,10180475,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
23,11009522,intermediary_of,10134866,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
24,11010375,intermediary_of,10081538,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
25,11010460,intermediary_of,10167249,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
26,11010460,intermediary_of,10161735,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
27,11010460,intermediary_of,10162813,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
28,11010460,intermediary_of,10167253,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
29,11010460,intermediary_of,10034270,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
30,11010583,intermediary_of,10134266,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
31,11010643,intermediary_of,10169207,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
32,11010768,intermediary_of,10181757,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
33,11011526,intermediary_of,10166406,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
34,11011539,intermediary_of,10159381,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
35,11011609,intermediary_of,10162331,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
36,11012290,intermediary_of,10167679,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
37,11012290,intermediary_of,10164728,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
38,11012290,intermediary_of,10167383,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
39,11012621,intermediary_of,10083101,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
40,11012623,intermediary_of,10165929,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
41,11012911,intermediary_of,10213977,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
42,11013164,intermediary_of,10211286,intermediary of,,,Panama Papers,The Panama Papers data is current through 2015
43,12013331,officer_of,10181919,shareholder of,25-JUL-1997,30-MAY-2001,Panama Papers,The Panama Papers data is current through 2015
44,12048846,officer_of,10170677,shareholder of,05-JAN-1987,,Panama Papers,The Panama Papers data is current through 2015
45,12057905,officer_of,10044067,shareholder of,13-JAN-2012,,Panama Papers,The Panama Papers data is current through 2015
46,12096317,officer_of,10150136,shareholder of,04-NOV-2011,,Panama Papers,The Panama Papers data is current through 2015
47,12096317,officer_of,10003688,shareholder of,04-NOV-2011,,Panama Papers,The Panama Papers data is current through 2015
48,12096931,officer_of,10181919,shareholder of,30-NOV-2002,,Panama Papers,The Panama Papers data is current through 2015
49,12111264,officer_of,10059536,shareholder of,12-FEB-2007,,Panama Papers,The Panama Papers data is current through 2015
50,12111264,officer_of,10059536,shareholder of,08-AUG-2007,,Panama Papers,The Panama Papers data is current through 2015
51,12111264,registered_address,14014962,registered address,,,Panama Papers,The Panama Papers data is current through 2015
52,12128743,officer_of,10059052,shareholder of,09-AUG-1991,30-NOV-1995,Panama Papers,The Panama Papers data is current through 2015
53,12128743,registered_address,14022183,registered address,,,Panama Papers,The Panama Papers data is current through 2015
54,12131024,officer_of,10003688,shareholder of,06-JUL-2006,14-DEC-2010,Panama Papers,The Panama Papers data is current through 2015
55,12131025,officer_of,10150136,shareholder of,06-JUL-2006,14-DEC-2010,Panama Papers,The Panama Papers data is current through 2015
56,12146004,officer_of,10150136,shareholder of,14-DEC-2010,07-FEB-2011,Panama Papers,The Panama Papers data is current through 2015
57,12146004,officer_of,10003688,shareholder of,14-DEC-2010,07-FEB-2011,Panama Papers,The Panama Papers data is current through 2015
58,12146005,officer_of,10003688,shareholder of,07-FEB-2011,04-NOV-2011,Panama Papers,The Panama Papers data is current through 2015
59,12154650,officer_of,10150136,shareholder of,07-FEB-2011,04-NOV-2011,Panama Papers,The Panama Papers data is current through 2015
60,12161015,officer_of,10134866,shareholder of,11-MAY-2007,,Panama Papers,The Panama Papers data is current through 2015
61,12161016,officer_of,10134866,shareholder of,11-MAY-2007,,Panama Papers,The Panama Papers data is current through 2015
62,12164726,officer_of,10134266,shareholder of,27-APR-2009,,Panama Papers,The Panama Papers data is current through 2015
63,12176209,officer_of,10181919,shareholder of,30-NOV-2002,,Panama Papers,The Panama Papers data is current through 2015
64,12176209,officer_of,10181919,shareholder of,20-NOV-2001,,Panama Papers,The Panama Papers data is current through 2015
65,12180141,officer_of,10193267,shareholder of,24-FEB-2005,25-NOV-2005,Panama Papers,The Panama Papers data is current through 2015
66,12180141,registered_address,14050886,registered address,,,Panama Papers,The Panama Papers data is current through 2015
67,12190239,officer_of,10181919,shareholder of,20-NOV-2001,,Panama Papers,The Panama Papers data is current through 2015
68,12197376,officer_of,10213350,shareholder of,20-NOV-2001,,Panama Papers,The Panama Papers data is current through 2015
69,12197376,registered_address,14063412,registered address,,,Panama Papers,The Panama Papers data is current through 2015
70,12220057,officer_of,10181919,shareholder of,30-MAY-2001,20-NOV-2001,Panama Papers,The Panama Papers data is current through 2015
71,12220058,officer_of,10181919,shareholder of,30-MAY-2001,20-NOV-2001,Panama Papers,The Panama Papers data is current through 2015
72,13002333,officer_of,10082326,beneficiary of,,,Panama Papers,The Panama Papers data is current through 2015
