,node_id,ShellName,CharityName,CharityHeadquarters
0,133188,THE ASIA TRUST,The Asia Foundation,"San Francisco, CA, United States"
1,147116,INTERNATIONAL MEDICAL CORPORATION,International Medical Corps,
2,158005,"Vision World International Co., Ltd.",World Vision International,
3,174703,VISION INTERNATIONAL LIMITED,World Vision International,
4,158540,WORLD VISION CORP.,World Vision International,
5,186721,SANDY HOKIJANTO, Sandy,
6,186740,Sandy Wu, Sandy,
7,166497,Crystal Global Fund,Global Greengrants Fund,
8,164742,Crystal Global Fund,Global Greengrants Fund,
9,182005,Ho Jane Jane,Jane Goodall Institute,
10,182913,Sandy Man, Sandy,
11,169169,Paul J. Maggio Trust,J. Paul Getty Trust,
12,190568,International Medical Fund,International Medical Corps,
13,169766,Pioneer Development Trust,Children's Development Trust,
14,186736,Sandy Sek, Sandy,
15,172319,Neptune Development Trust,Children's Development Trust,
16,186688,Sandy Lau, Sandy,
17,197748,EAST MEETS WEST INTERNATIONAL LIMITED,East Meets West,
18,158169,WORLD VISION LIMITED,World Vision International,
19,169460,Care Trust,CARE,
