,node_id,ShellName,CharityName,CharityHeadquarters
1,10034270,VISION INTERNATIONAL CORP.,World Vision International,
2,10037228,WORLD VISION LIMITED,World Vision International,
3,10106174,EAST MEETS WEST LTD.,East Meets West,
5,10159381,CARITAS FOUNDATION,Caritas,
8,10161735,VILLAGE FOUNDATION,Global Village Foundation,
14,10164621,WESTON INTERNATIONAL FOUNDATION,Garfield Weston Foundation,"London, United Kingdom"
15,10164621,WESTON INTERNATIONAL FOUNDATION,The Weston Foundation,
23,10166682,WESTON GROUP FOUNDATION,Garfield Weston Foundation,"London, United Kingdom"
24,10166682,WESTON GROUP FOUNDATION,The Weston Foundation,
25,10166896,VANCOUVER PROPERTY FOUNDATION,Vancouver Foundation,
27,10167253,NATIONS FOUNDATION,United Nations Foundation,"Washington, D.C., United States"
30,10167679,HERITAGE GLOBAL FOUNDATION,The Heritage Foundation,"214 Massachusetts Avenue NEWashington, D.C., U.S."
32,10168737,CARTHAGE  FOUNDATION,Carthage Foundation,
40,10212191,VANCOUVER PROPERTY FOUNDATION,Vancouver Foundation,
41,10213977,HERITAGE GLOBAL FOUNDATION,The Heritage Foundation,"214 Massachusetts Avenue NEWashington, D.C., U.S."
