,node_id,ShellName,CharityName,CharityHeadquarters
1,82008187,Bermuda Diabetes Association,American Diabetes Association,"Alexandria, Virginia"
8,85023070,360,Good 360,"Alexandria, Virginia"
16,30011100,"AMERICAN MUSEUM OF NATURAL HISTORY, THE",American Museum of Natural History,"New York, New York"
18,100318846,VISION WORLD INC.,World Vision,"Federal Way, Washington"
19,101208524,THE NATURE CONSERVANCY,Nature Conservancy,"Arlington, Virginia"
20,101422196,INTERNATIONAL RESCUE LTD.,International Rescue Committee,"New York, New York"
21,200117453,INTERNATIONAL RESCUE LTD,International Rescue Committee,"New York, New York"
22,200142576,American Jewish Committee Inc.,American Jewish Joint Distribution Committee,"New York, New York"
27,55048930,Vision World Ltd,World Vision,"Federal Way, Washington"
29,55086908,CRU 2,Cru,"Orlando, Florida"
30,55087396,MAP,MAP International,"Brunswick, Georgia"
