,node_id,ShellName,CharityName,CharityHeadquarters
4,82011463,International Opportunity IV,Opportunity International,
7,85011692,VISION INTERNATIONAL A.V.V.,World Vision International,
9,85005883,CONFETTI,Confetti Foundation,
12,85004192,TRAFFIC N.V.,Traffic,
13,85013089,CHILD WATCH,Child Watch Phuket,
15,85019636,TRAFFIC 2000,Traffic,
19,85029309,CHILD WATCH,Child Watch Phuket,
25,85041055,YOUTH WITH A MISSION A-B-C- FOUNDATION,Youth With A Mission,
33,100318846,VISION WORLD INC.,World Vision International,
36,101803231,ROYAL SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS OF BARBADOS,Royal Society for the Prevention of Cruelty to Animals,
37,101809479,YOUTH WITH A MISSION INC,Youth With A Mission,
40,200100101,FIRST DIRECTOR LIMITED, first Director,
42,200115350,ACUMEN INC.,Acumen,
45,200200208,INTERNATIONAL OPPORTUNITY FOUNDATION,Opportunity International,
46,200508196,mercy international LLC,Mercy International Foundation,
48,200802203,EAST WEST TRUST,East Meets West,
53,55032526,ACUMEN LIMITED,Acumen,
54,55048930,Vision World Ltd,World Vision International,
