,node_id,ShellName,CharityName,CharityHeadquarters
0,12028260,BANK OF NEW YORK,SKIP of New York,
1,12034460,GEORGIA CHRYSOSTOMIDES, Georgia,
2,12034460,GEORGIA CHRYSOSTOMIDES, Georgia,
3,12038986,ELIZABETH HERITAGE FOUNDATION,The Heritage Foundation,"214 Massachusetts Avenue NEWashington, D.C., U.S."
4,12045824,BCV III, III,
5,12048846,LI KA SHING,Li Ka Shing Foundation,
6,12051012,THE VISCOUNT OF THE ROYAL COURT OF JERSEY,Royal Society for the Protection of Birds,
7,12051348,THE ALEXANDER HERITAGE FOUNDATION,The Heritage Foundation,"214 Massachusetts Avenue NEWashington, D.C., U.S."
8,12057905,THE STARLIGHT FOUNDATION,Starlight Children's Foundation,"Los Angeles, California"
9,12103319,GEORGIA CHRYSOSTOMIDES, Georgia,
10,12103319,GEORGIA CHRYSOSTOMIDES, Georgia,
11,12104764,Georgia Chrysistimides, Georgia,
12,12104764,Georgia Chrysistimides, Georgia,
13,12109850,Georgia Georgiou, Georgia,
14,12109850,Georgia Georgiou, Georgia,
15,12111264,FORD FOUNDATION,Ford Foundation,
16,12124452,GEORGIA KYRIAKOU, Georgia,
17,12124452,GEORGIA KYRIAKOU, Georgia,
18,12123254,GEORGIA GEORGALLA, Georgia,
19,12123254,GEORGIA GEORGALLA, Georgia,
20,12128743,LI KA SHING,Li Ka Shing Foundation,
21,12132650,Sandy Quimbaya, Sandy,
22,12135634,HIGH PAVILION FOUNDATION,High Fives Foundation,"Truckee, California"
23,12143604,Sandy Harb, Sandy,
24,12168323,SANDY SUSANTO, Sandy,
25,12171053,GEORGIA CONSTANTINOU, Georgia,
26,12171053,GEORGIA CONSTANTINOU, Georgia,
27,12174869,DAN DAVID FOUNDATION,David Suzuki Foundation,"Vancouver, British Columbia, Canada"
28,12180141,HERITAGE VALUE FOUNDATION,The Heritage Foundation,"214 Massachusetts Avenue NEWashington, D.C., U.S."
29,12198625,FUNG KIN KIN,Kin Canada,
30,12204203,Tsoi Kin Kin,Kin Canada,
31,12204206,Tsoi Kin Kin,Kin Canada,
32,12210983,Tsoi Kin Kin,Kin Canada,
33,13003461,DAN DAVID FOUNDATION,David Suzuki Foundation,"Vancouver, British Columbia, Canada"
34,13004281,GEORGIA CHRYSOSTOMIDES, Georgia,
35,13004281,GEORGIA CHRYSOSTOMIDES, Georgia,
36,13004809,GEORGIA LAMBRIANIDES, Georgia,
37,13004809,GEORGIA LAMBRIANIDES, Georgia,
38,13005038,Tsoi Kin Kin,Kin Canada,
39,13000199,GEORGIA LAMBRIANIDES, Georgia,
40,13000199,GEORGIA LAMBRIANIDES, Georgia,
41,13002333,UNICEF,UNICEF,"New York, USA"
