CARITAS FOUNDATION,Caritas
MARIE INTERNATIONAL LIMITED,Marie Stopes International
Medical World Limited,World Medical Relief
VILLAGE FOUNDATION,Global Village Foundation
DEKA Family Foundation,Scaife Family Foundation
THE CAPRICORN CHILDREN'S FOUNDATION,The Children's Investment Fund Foundation
TRINITY FAMILY FOUNDATION,Scaife Family Foundation
BC Family Foundation,Scaife Family Foundation
THE ALEXANDER HERITAGE FOUNDATION,The Heritage Foundation
STREET CHILDREN FOUNDATION,Reggio Children Foundation
H.E.B.M. FAMILY FOUNDATION,Scaife Family Foundation
THE NEW YORK CITY FOUNDATION,The New Brunswick Innovation Foundation
BENJO EDUCATION FOUNDATION,Legal Education Foundation
Family Line Foundation,Scaife Family Foundation
AMAZONA FAMILY FOUNDATION,Scaife Family Foundation
OCEANUS FAMILY FOUNDATION,Scaife Family Foundation
GEMINIS FAMILY FOUNDATION,Scaife Family Foundation
WESTON INTERNATIONAL FOUNDATION,Garfield Weston Foundation
WESTON INTERNATIONAL FOUNDATION,The Weston Foundation
THE ALEXANDER HERITAGE FOUNDATION,The Heritage Foundation
THE CREATIVE FUND FOUNDATION,The Children's Investment Fund Foundation
CAMPOSANO FAMILY FOUNDATION,Scaife Family Foundation
FAMILY BOGUCKI FOUNDATION,Scaife Family Foundation
OUR FAMILY FOUNDATION,Scaife Family Foundation
HERITAGE VALUE FOUNDATION,The Heritage Foundation
Dina Family Foundation,Scaife Family Foundation
SUNLAND FAMILY FOUNDATION,Scaife Family Foundation
THE NEW VISION FOUNDATION,The New Brunswick Innovation Foundation
VICTORIA FAMILY FOUNDATION,Scaife Family Foundation
ININA FAMILY FOUNDATION,Scaife Family Foundation
ST. EDMUNDS FOUNDATION,St. Baldrick's Foundation
CM FAMILY FOUNDATION,Scaife Family Foundation
Widder Education Foundation,Legal Education Foundation
INDIA INVESTMENTS FOUNDATION,American India Foundation
CYCLOPS FAMILY FOUNDATION,Scaife Family Foundation
WESTON GROUP FOUNDATION,Garfield Weston Foundation
WESTON GROUP FOUNDATION,The Weston Foundation
VANCOUVER PROPERTY FOUNDATION,Vancouver Foundation
FAMILY FOUNDATION,Scaife Family Foundation
NATIONS FOUNDATION,United Nations Foundation
HIGH BECK FOUNDATION,High Fives Foundation
NET CHILDREN'S FOUNDATION,Starlight Children's Foundation
HERITAGE GLOBAL FOUNDATION,The Heritage Foundation
EATON FAMILY FOUNDATION,Scaife Family Foundation
CM FAMILY FOUNDATION,Scaife Family Foundation
THE ARCTIC INVESTMENT FOUNDATION,The Children's Investment Fund Foundation
CYCLOPS FAMILY FOUNDATION,Scaife Family Foundation
CASSA FAMILY FOUNDATION,Scaife Family Foundation
CARTHAGE  FOUNDATION,Carthage Foundation
Foundation For Human Development,Comenius Foundation for Child Development
Foundation For Human Development,Foundation for Child Development
Turtle Family Foundation,Scaife Family Foundation
MARIE INTERNATIONAL INC.,Marie Stopes International
VERAN Family Foundation,Scaife Family Foundation
COMMUNITY UPLIFTING FOUNDATION,Tulsa Community Foundation
Lemuria Family Foundation,Scaife Family Foundation
KADOSH FAMILY FOUNDATION,Scaife Family Foundation
ATLANTIDA FAMILY FOUNDATION,Scaife Family Foundation
