Medical World Limited,World Medical Relief
VISION INTERNATIONAL CORP.,World Vision International
WORLD VISION LIMITED,World Vision International
EAST MEETS WEST LTD.,East Meets West
UNITED STATES LIMITED,United States Artists
CARITAS FOUNDATION,Caritas
MARIE INTERNATIONAL LIMITED,Marie Stopes International
Medical World Limited,World Medical Relief
VILLAGE FOUNDATION,Global Village Foundation
THE CAPRICORN CHILDREN'S FOUNDATION,The Children's Investment Fund Foundation
THE ALEXANDER HERITAGE FOUNDATION,The Heritage Foundation
STREET CHILDREN FOUNDATION,Reggio Children Foundation
THE NEW YORK CITY FOUNDATION,The New Brunswick Innovation Foundation
BENJO EDUCATION FOUNDATION,Legal Education Foundation
WESTON INTERNATIONAL FOUNDATION,Garfield Weston Foundation
WESTON INTERNATIONAL FOUNDATION,The Weston Foundation
THE ALEXANDER HERITAGE FOUNDATION,The Heritage Foundation
THE CREATIVE FUND FOUNDATION,The Children's Investment Fund Foundation
HERITAGE VALUE FOUNDATION,The Heritage Foundation
THE NEW VISION FOUNDATION,The New Brunswick Innovation Foundation
ST. EDMUNDS FOUNDATION,St. Baldrick's Foundation
Widder Education Foundation,Legal Education Foundation
INDIA INVESTMENTS FOUNDATION,American India Foundation
WESTON GROUP FOUNDATION,Garfield Weston Foundation
WESTON GROUP FOUNDATION,The Weston Foundation
VANCOUVER PROPERTY FOUNDATION,Vancouver Foundation
FAMILY FOUNDATION,Scaife Family Foundation
NATIONS FOUNDATION,United Nations Foundation
HIGH BECK FOUNDATION,High Fives Foundation
NET CHILDREN'S FOUNDATION,Starlight Children's Foundation
HERITAGE GLOBAL FOUNDATION,The Heritage Foundation
THE ARCTIC INVESTMENT FOUNDATION,The Children's Investment Fund Foundation
CARTHAGE  FOUNDATION,Carthage Foundation
Foundation For Human Development,Comenius Foundation for Child Development
Foundation For Human Development,Foundation for Child Development
MARIE INTERNATIONAL INC.,Marie Stopes International
COMMUNITY UPLIFTING FOUNDATION,Tulsa Community Foundation
THE TUDOR INVESTMENT FUND LIMITED,The Children's Investment Fund Foundation
THE TRADEWINDS INVESTMENT FOUNDATION,The Children's Investment Fund Foundation
HIGH BECK FOUNDATION,High Fives Foundation
VANCOUVER PROPERTY FOUNDATION,Vancouver Foundation
HERITAGE GLOBAL FOUNDATION,The Heritage Foundation
