,name,Income($),Field,Top Person,Fiscal Year End,Headquarters,Country
0,United Way Worldwide,3708000000,Domestic Needs,Brian Gallagher,"Jun 30, 2018","Alexandria, Virginia",United States
1,Task Force for Global Health,3154000000,International Needs,David Ross,"Aug 31, 2018","Decatur, Georgia",United States
2,Feeding America,2150000000,Domestic Needs,Claire Babineaux-Fontenot,"Jun 30, 2017","Chicago, Illinois",United States
3,Salvation Army,1904000000,Domestic Needs,David Hudson,"Sep 30, 2017","Alexandria, Virginia",United States
4,YMCA of the USA,1202000000,Youth,Kevin Washington,"Dec 31, 2017","Chicago, Illinois",United States
5,St. Jude Children's Research Hospital,1181000000,Medical,Richard Shadyac Jr. and James R. Downing,"Jun 30, 2018","Memphis, Tennessee",United States
6,Food for the Poor,1156000000,International Needs,Robin Mahfood,"Dec 31, 2017","Coconut Creek, Florida",United States
7,Boys & Girls Clubs of America,923000000,Youth,James Clark,"Dec 31, 2017","Atlanta, Georgia",United States
8,Catholic Charities USA,921000000,Domestic Needs,Donna Markham,"Jun 30, 2017","Alexandria, Virginia",United States
9,Goodwill Industries International,902000000,Domestic Needs,Lorma Utley,"Dec 31, 2017","Rockville, Maryland",United States
10,Habitat for Humanity International,829000000,International Needs,Jonathan Reckford,"Jun 30, 2017","Americus, Georgia",United States
11,World Vision,825000000,International Needs,Edgar Sandoval,"Sep 30, 2017","Federal Way, Washington",United States
12,American Cancer Society,810000000,Health,Gary Reedy,"Dec 31, 2017","Atlanta, Georgia",United States
13,Patient Access Network Foundation,801000000,Health,Daniel Klein,"Dec 31, 2017","Washington, District of Columbia",United States
14,Compassion International,799000000,International Needs,Santiago Mellado,"Jun 30, 2018","Colorado Springs, Colorado",United States
15,Direct Relief,775000000,International Needs,Thomas Tighe,"Jun 30, 2018","Santa Barbara, California",United States
16,Americares Foundation,740000000,International Needs,Michael Nyenhuis,"Jun 30, 2017","Stamford, Connecticut",United States
17,Lutheran Services in America,723000000,Domestic Needs,Charlotte Haberaecker,"Jun 30, 2017","Washington, District of Columbia",United States
18,Nature Conservancy,646000000,Environment/Animal,Mark Tercek,"Jun 30, 2017","Arlington, Virginia",United States
19,American Heart Association,634000000,Health,Nancy Brown,"Jun 30, 2017","Dallas, Texas",United States
20,American National Red Cross,624000000,Domestic Needs,Gail McGovern,"Jun 30, 2017","Washington, District of Columbia",United States
21,Samaritan's Purse,565000000,Domestic Needs,W. Franklin Graham III,"Dec 31, 2017","Boone, North Carolina",United States
22,MAP International,545000000,International Needs,Steven Stirling,"Sep 30, 2017","Brunswick, Georgia",United States
23,Step Up for Students,521000000,Education,Doug Tuthill,"Jun 30, 2018","Jacksonville, Florida",United States
24,Cru,514000000,Religious,Stephen Douglass,"Aug 31, 2017","Orlando, Florida",United States
25,United States Fund for UNICEF,509000000,International Needs,Caryl Stern,"Jun 30, 2017","New York, New York",United States
26,Wounded Warrior Project,473000000,Domestic Needs,Michael Linnington,"Sep 30, 2017","Jacksonville, Florida",United States
27,Feed the Children,446000000,Domestic Needs,Travis Arnold,"Jun 30, 2017","Oklahoma City, Oklahoma",United States
28,Mount Sinai Health Systems,439000000,Medical,Kenneth Davis,"Dec 31, 2016","New York, New York",United States
29,Save the Children Federation,379000000,International Needs,Carolyn Miles,"Dec 31, 2017","Fairfield, Connecticut",United States
30,CARE USA,378000000,International Needs,Michelle Nunn,"Jun 30, 2017","Atlanta, Georgia",United States
31,Good 360,377000000,International Needs,Howard Sherman,"Dec 31, 2017","Alexandria, Virginia",United States
32,Catholic Relief Services,372000000,International Needs,Sean Callahan,"Sep 30, 2017","Baltimore, Maryland",United States
33,Planned Parenthood Federation of America,354000000,Domestic Needs,Leana Wen,"Jun 30, 2017","New York, New York",United States
